Name,Activities,Subsector Activities,PO Box,City,Fax,Email,Location,Manager
AFRICA GLOBAL LOGISTICS CAMEROUN," Transit, transport, logistique, manutention, consignation, agence de voyage, entreposage, courrier et colis express", Transport/Transit, B.P. 4057, DOUALA, 233 50 02 32, bollore.africa-logistics.cm@bollore.com, Bonanjo, Monsieur Serge AGNERO (Directeur Général)
AFRILAND FIRST BANK, Services bancaires, Banque, B.P. 11834, YAOUNDE, 233427902/233437169, firstbank@afrilandfirstbank.com; celestin_guela@afrilandfirstbank.com," Yaoundé, Hypodromme, face Hôtel de ville", Monsieur Célestin GUELA SIMO (Directeur Général)
AG PARTNERS CAMEROUN PUBLICIS AFRICA GROUP, Agence conseil en communication, communication, B.P. 12555, DOUALA,None, info@ag-partners.com," Bonapriso, rue koloko", Monsieur Abdoulaye Adoum Bilal
AFRIMAR S.A.," transit,manutention,commission de transport, commission en douane agrée, logistique", Transport/Transit, B.P.15448, DOUALA, 233 43 75 06, afrimarsa@afrimarsa.com," Bonanjo, messapresse", Monsieur Jean MELI(Administrateur Directeur général)
AJC GRAPHIC," Imprimerie, prestation de services", Services d'imprimerie,None, DOUALA,None, info@ajcgraphic.com, Akwa, Monsieur Joël Merlin YOUMBI(Directeur général)
AIGLE VOYAGES SA," Vente billets d'avion, bureau de change, tourisme",None,None, Douala,None, infocwtdla@aigle-voyage.com," Akwa, Rue des écoles, Face Idéal, plaque murale n°548", Madame Jeanne Bernadette Sangang (Directeur Général)
AFRIQUE AUDIT CONSEIL, Audit-Expertise Comptable-Conseil,None, B.P 15223, DOUALA,None," contact@aacbti.com, office@bakertilly.cm"," AKWA, Immeuble SOCAR, P. 404, entrée C", Monsieur Chrétien TOUDJUI POUANSI (Directeur Général)
AGENCE DES NORMES ET DE LA QUALITE (ANOR)," Elaboration des Normes, Promotion et Assurance de la Qualité des produits et services au Cameroun",None, 14966, Yaoundé,None, contact@anorcameroun.info," Bastos-Yaoundé, Ancien immeuble Banque Mondiale, à côté de l'Ambassade de Chine", Monsieur Charles BOOTO A NGON (D.G.)
AJ AND PARTNERS SARL," Restauration, commerce général",None,None, Douala,None, ajfoodappro@outlook.fr, Bali,None
AGPC (Association pharmaceutique des grossistes du Cameroun), Pharmaciens grossistes, Organisation Professionnelle, B.P.12554, DOUALA, 233 43 42 30/ 233 43 64 20, prosperhiag@yahoo.fr, Face Direction générale ORANGE - Rue à côté de la station Total - même local que Graphic Industries, Monsieur Prosper HIAG(Président)
AGROCHEM, Commercialisation des Intrants agricoles,None, 5624, DOUALA, 233422691," agrochem.cm@gmail.com, agrochem.cm@gmail.com"," Akwa,ru e Joffre, face CFAO Technologie", MONSIEUR IMAD MOUSSA SAID (Directeur Général)
AKWA PALACE ," Hôtellerie, restauration", Hotellerie, B.P. 4007, DOUALA, 233 42 74 16, contact@hotel-akwa-palace.com, Akwa, Monsieur Olivier SOHAINGl (Directeur Général)
ALIOS FINANCES CAMEROUN," Crédit automobile, Crédit bail, location longue durée, le petit équipement, lease back", Services financiers, B.P.554, DOUALA, 233 42 12 19, cameroun@alios-finance.com," AKWA, à coté du Centenaire", Monsieur Georges Fotso (Directeur général)
AGGREKO CAMEROUN Ltd, Distribution générale -Energie- Location, Autres services, B.P. 13027, DOUALA,None, line.tcheng@aggreko.ae," Zone portuaire, entrée nord", Monsieur Marc VATEL(Directeur général)
ALLIANZ CAMEROUN, Assurances dommages et assurances vie, Assurances, B.P.105, DOUALA, 233 50 20 01, allianz.cameroun@allianz-cm.com, Bonanjo, Monsieur Olivier MALATRE (Directeur Général)
AOCTMC (Association des Opérateurs Concessionnaires de Téléphonie Mobile du Cameroun), Fourniture des services de communications électroniques mobiles,None,None, Douala, 233427430, charles.mbassi@orange.com," Makèpè, Orange", Monsieur Patrick BENON (Président); Monsieur BAYI Moise (Vice-Président)
ALM CONSULTANTS, Cabinet conseil en QHSE, cabinet conseil, B.P.2584, DOUALA, 233 43 98 85, alm@almconsultants.com," Akwa, face immeuble Kadji, derrière Tsekenis", Monsieur Roger LOCK(Président directeur général)
AMD Sarl (Aciers et Métaux Divers), Commercialisation matériaux de construction,None, B.P 5512, DOUALA,None, amd@aciersetmetaux.com," Zone Portuaire Nord, base Elf derrière TAC, vers Frielander", Monsieur Michel KAMGUE (Directeur Général)
ANEMCAM (Association Nationale des Etablissements de Microfinance du Cameroun), Représentation et défense des  intérêts collectifs des EMF,None,None, Yaoundé,None, anencamcameroun@yaho.com," Yaoundé Bastos, Rue Aurelia Palace", Monsieur MUSA SHEY NFOR (Président)
ARNO SA, Commerce Général,None, 664, Douala,None, info@groupearno.com, 1008 Avenue de la base navale, M. Jean Jacques ARNOPOULOS
ALPICAM (Alpi Pietro et Fils Cameroun Sarl)," Placages déroulés, Contreplaqués, Débités, Grumes", Agro-industrie, B.P. 2130, DOUALA, 233 39 09 47, giorgio.giorgetti@alpiwood.com, Bonaberi, Monsieur Emmanuel BON (Directeur général)
ALUCAM (Aluminium du Cameroun), Lingots et Plaques d'aluminium, Industrie métallurgique, B.P. 1090, DOUALA, 233503017/ 233504420, communication.alucam@groupealucam.com," Akwa, face immeuble Kadji, derrière Tsekenis", Monsieur Alain MALONG(Directeur général)
APAVE CAMEROUN," Conseil en organisation et RH, recrutement et gestion des carrières et des compétences, formation professionnelle, contrôle de construction, conseil en QHSE-Métrologie", Cabinet Conseil, B.P. 129, DOUALA, 233 43 03 94, apave.contact@apavecameroun.com, Akwa, Monsieur François VANDENABELE (Directeur Général)
APECCAM (Association Professionnelle des Etablissements de Crédit du Cameroun), Etablissements de crédit, Organisation Professionnelle, B.P. 133, YAOUNDE, 222 23 54 02, apeccam@camnet.cm, Immeuble Afriland Yadouné, Madame Gwendoline ABUNAW (Président / DG ECOBANK)
AREA ASSURANCES, Assurances et réassurance, Assurances, B.P. 15584, DOUALA, 233 43 81 98, area@areaassurance.com," Akwa, rond point salle des fêtes", Monsieur Martial SOJIO FEUJIO (Directeur Général)
ASQUINI ENCORAD, Bâtiments - Travaux Publics, BTP, B.P. 1033, DOUALA, 233 37 67 96, info@asquini-encorad.com," Bassa, à coté Hysacam", Monsieur Michel NGAPANOUN(Président directeur général)
ASCOMA CAMEROUN, Intermédiaire  d'assurance, Assurances, B.P. 544, DOUALA, 233 42 61 75, cameroun@ascoma.com; grace.mbongo@ascoma.com," Akwa, À coté MTN", Monsieur Philippe BETI (Directeur général)
AUTORITE PORTUAIRE NATIONALE, Supervision du secteur portuaire, Autres services, B.P. 11538, YAOUNDE, 222 23 73 14, apn@camnet.cm," Hypodromme, Unicef", Monsieur Josué YOUMBA(Directeur général)
ASCESE, Communication et Marketing, Cabinet Conseil, B.P. 15470, DOUALA, 233 43 11 45, ascesecom@yahoo.fr," Akwa, derrière Banque PME", Madame Mireille FOMEKONG(Gérante associée)
AT GRAPHILINE INDUSTRY," Imprimerie, conception, édition, sérigraphie, flexographie, signalétique",None, 12471, DOUALA,None, graphiline@yahoo.fr / graphiline@at-graphiline.com," Ancienne route Bonabéri, quartier Bonamikano", Augustin TEKAM (DG)
AUDITEC FOIRIER CONSULTING S.A," Expertise Comptable, audit et commissariat aux comptes, Assistance juridique et fiscale", Cabinet conseil, B.P.443, DOUALA, 233 42 48 77 / 233 42 04 49, info@auditechc-foirier.com," bonabérie, zone industrielle", Monsieur Michel KANGMENI YOSSA(Directeur général)
AVILYOS, Services de communication électronique,None,None, Douala,None, info@avilyos.com, Akwa," M. Juteau Morgan Evrard (PCA), M. Albert Kamanou (DG)()"
ASAC (ASSOCIATION DES SOCIETES D'ASSURANCES DU CAMEROUN), Assurances, Organisation professionnelle, B.P 1136, DOUALA, 233424499, asac_douala@yahoo.fr," Akwa , Locaux CPA, face immeuble socar", Monsieur Thierry KEPEDEN(Président)
AURORE  METAL INDUSTRY Sarl, Construction métallique, Industrie métallique,None, DOUALA,None, auroreservicesexpress@yahoo.fr," Makepe, Face entrée chefferie Missoke", Monsieur Serge YEMGA TCHOUKWI (Directeur général)
AUTOHAUS S.A.," Concessionaire automobile, commerce des pièces de rechange, garage", Commerce et distribution, B.P. 15512, DOUALA, 237 233 425 646, contact@autohaus-cameroon.com," Akwa, face Lycée Technique", Monsieur Christian KOUAM DZUKOU(Diercteur général)
BANQUE ATLANTIQUE CAMEROUN, Banque,None, 2933, DOUALA, 233421071, virgil.attiepo@banqueatlantique.net," Akwa, boulevard de la liberté", M. Eric Valéry ZOA  (D.G)
BAT CAMEROUN, Importation et distribution de tabac, Commerce,None, DOUALA, 233 42 38 44, contact_cemac@bat.com," Bonapriso, à côté FEICOM", Monsieur OKECHUKWU AGUORU (Directeur général)
ATLANTIQUE ASSURANCES CAMEROUN-IARDT, Opérations d'Assurances,None,None, Douala,None, contact@atlantiqueassurances.com, Bonanjo Ancien immeuble SAGA, Monsieur Norbert NGNIWAKE (Directeur Général)
B&C (BRAND & CONSUMERS), Agence conseil en communication et marketing, Communication, B.P. 15018, DOUALA, 233 42 91 31/ 233 42 88 88," care@brandandconsumers.com, codi@brandandconsumers.com", Bonapriso, Monsieur Gabriel  KOUENI(Directeur Général)
AZUR SA, Savonnerie et Huilerie,None, BP 378, Douala,None, azur@azur-sa.com, Douala Yassa, Monsieur NANA BOUBA DJODA (PDG); Monsieur MOHAMADOU NANA BOUBA (DG)
AXA ASSURANCES CAMEROUN, Assurances, Assurances, B.P. 4068, DOUALA, 233 43 02 68 / 233 42 64 53, axa.cameroun@axa.cm," AKWA, derière galerie perissac", Monsieur Thierry KEPEDEN(Directeur général)
AWEP (African Women Entrepreneurship Program), Association de promotion de l'entreprenariat féminin,None,None, DOUALA,None, info@awepcameroon.org," Bonapriso, Collège des Nations", Madame Caroline SACK KENDEM (Présidente)
BENEFICIAL LIFE INSURANCE S.A, Assurances, Assurances, B.P. 2328, DOUALA, 233 42 77 54," beneficial@groupbeneficial.com, bli@beneficial.com"," Akwa, Mobil bonakouamouang", Monsieur Eddie F. BROWN(Directeur général adjoint)
BAT TRANSIT AND SERVICE Cie," Transit, transport, formation et services divers", Transport/Transit, B.P. 3316, DOUALA, 233 43 25 74, battransit@camnet.cm," Akwa, carrefour anatole, au niveau du drain", Monsieur Jean Blaise DJOUOKOU(Président Directeur général)
BB VISION," Conseil en management vision strategique, coaching, pilotage des affaires, formation, encadrement, marketing et finance, audit système d'information et de management, support de comprehension des TIC", Cabinet Conseil,None, YAOUNDE, 222 20 79 54, b_beyokol@hotmail.com," Yaoundé, Nouvelle route Omnisport. Douala, Akwa, 2 églises, face Guarantee Express", Monsieur BEYOKOL Bernard(Président Directeur général)
BERYO International, services d'assainissement, Assainissement, B.P. 11975, DOUALA, 233 42 65 80, beryo.international01@yahoo.fr," Akwa, 22 Rue Foch", Monsieur Bernard YOSSA(Directeur général)
BLESSING PETROLEUM SA, Distribution des produits pétroliers, Commerce et distribution, PB 5405, DOUALA, 233 425072," blessingpetro@blessingpetroleum.net, amedee.tchanpga@blessingpetroleum.net"," AKWA, IMMEUBLE TMC, avant Hôtel le Ndé", Madame Hélène NGO MBUS DENGOUE (Directeur général)   DENGOUE FANSI Paul F (PCA)
BIA Cameroun S.A., Distribution Véhicules Utilitaires Automobiles, Commerce et distribution, B.P. 1935, DOUALA, 233 39 76 22," info.cmr@biagroup.com, Pierre.Gerkens@biagroup.com"," Bassa, ndokoti, face Saker", M. Thomas CRABETT (Directeur Général)
BIOTROPICAL," AGRICULTURE, Agro-Industrie", Agro-Industrie, B.P. 12315, DOUALA, 233 39 32 96, biotropical@biotropical.com," Bonabéri, ancienne route (Point franc)", Monsieur Ludovic MINOUE(Directeur général)
BGFI BANK CAMEROUN, Banque et Finance, Banque,None, DOUALA, 233 43 33 88, contactbgfi@bgfi.com, Bonanjo, Monsieur ABAKAL MAHAMAT (Directeur Général)
BOISSONS DU CAMEROUN (GROUPE SABC)," Bières, Boissons gazeuses, Sirops", Industrie de boisson, B.P. 4036, DOUALA, 233 42 79 45, rmfondja@sabc-cm.com, Bali, Monsieur Stéphane DESCAZEAUD (Directeur général)
BICEC," Services bancaires, opérations de banque et finances", Banque, B.P. 1925, DOUALA, 233 42 60 47 / 233 42 41 16, bicec@bicec.com, Bonanjo, Monsieur ROCHDI SANHAJI (Directeur général)
BPS (BUSINESS & PARTNERS SERVICES SARL)," Monétique, Bureautique, Informatique",None, BP 15254, DOUALA,None," bps_sarl11@yahoo.fr, commercial.bpsgroup@gmail.com", Akwa, Monsieur TCHOUALONG TCHUISSI Guy Gaetan 'Président)
BRAD TRANSIT SARL," Commissionnaire agréé en douane, Transit, Transport, magasinage, Entreposage",None,None, DOUALA,None, bradtransit4@gmail.com," Bonapriso, derrière MRS Njo-Njo", Madame NJOYA Myriam (Directeur Général)
BRAIN CONSULTING, Conseils Juridiques et fiscaux,None,None, DOUALA,None, contact@brainconsulting-bc.com," Bonanjo, Tour du Wouri, à côté BEAC", Monsieur Henri MOUTALEN MOUTASSI (Associé Gérant)
BUETEC BRODERIE SARL," production tee-shirts+polos, broderie industrielle, sérigraphie, confection tenues de travail, sacs, porte-documents, sacoches, casquettes", Industrie du textile, B.P.3804, DOUALA,None, bettina@buetec-broderie.com," Akwa, carrefour Emilie Saker", Madame Bettina Guemto-MICHAELIS(Gérant)
CABINET L. RIQUIER, Cabinet d'Expertise Comptable et Conseils,None, BP 599, YAOUNDE,None," lucien.riquier@clrassociers.com, secretariat@clrassociers.com"," Yaoundé, Hippodrome, Rue Valérie Giscard d'Estaing", Monsieur Lucien RIQUIET (Directeur Général)
BUREAU GESTION, Expertise et Ingénierie Finanicère,None, B.P 13170, YAOUNDE,None, cabinet.bg@gmail.com," Bastos, derrière Laboratoire MEKA", Monsieur Jean-Claude EBE-EVINA (Directeur Général)
CABINET BEHLE ET ASSOCIES," Cabinet conseil en droit des sociétés, droit fiscal, droit social", Cabinet conseil, B.P. 712, DOUALA, 233 42 44 87,None, Akwa, Monsieur Olivier BEHLE(Directeur général)
CAMAIR-CO SA, Transport aérien,None, B.P. 4852, DOUALA,None, info@camair-co.net," Akwa, Immeuble la Rotonde", Monsieur Jean Christophe ELL A NGUEMA (DG)
BUREAU VERITAS DOUALA, Bureau de contrôle Technique, Services aux entreprises, B.P. 830, DOUALA,None, contact.cmr@bureauveritas.com,"  Zone portuaire sud, messapresse", Monsieur Mathieu GRATINI  (Directeur Général)
BUNS (SOCIETE BUNS), Travaux routiers, BTP, BP 1130, YAOUNDE, 222315275, societe.buns@yahoo.com," Yaoundé, Mvog Betsi", Monsieur Eric NJONG(Directeur général)
CADEV (CENTRE AFRICAIN POUR LE DROIT ET LE DEVELOPPEMENT), Prestations de services juridiques,None, BP 15810, YAOUNDE,None," ousman_z@cadev-afrique.org, cadev@cadev-afrique.org"," TSINGA, face entré second Palais congrès", Monsieur Sadjo OUSMANOU (Président)
CABINET NYEMB, Cabinet d'Avocats,None, B.P 4163, DOUALA,None, cabinet@cabinetnyemb.com," Bonanjo, 227, Rue Hotel de ville", Maître Jacques  Jonathan NYEMB (Directeur Général)
CABINET NYA AND CO LAW FIRM, Cabinet de Conseils / Contentieux Juridiques,None, 5618, Douala,None, contact@nyaandco.com," AXA Buildigo, Rue Franqueville AKWA", Me NYA SARADA (Directeur Général)
CAMEROON TEA ESTATES (CTE), Production et transformation de thé,None, 64, Douala,None, cte@ctetea.com, Bassa - Ndogsimbi, Monsieur NYOH Moses (Directeur Général)
CAMRAIL, Transport ferroviaire, Transport/Transit, B.P. 766, DOUALA, 233 50 26 04/233 42 82 52, courrier@camrail.net, Bessengué, Monsieur Pascal MINY (PCA) / Monsieur Jean-Pierre MOREL (Directeur général)()
CAMLAIT," Production et distribution de yaourt, lait instantané, margarine,spécialité au soja", Industrie agroalimentaire, B.P. 1838, DOUALA, 233 37 21 90 / 233 37 28 05, rkamga@camlait.com; pltoukam@camlait.com; gbfotso@camlait.cm;, Bassa Dogbong, Monsieur Paulin Landry TOUKAM ZUKO(Président directeur général)
CAMEROUN ASSISTANCE SANITAIRE," Assistance sanitaire aux entreprises et aux particuliers -, évacuations sanitaires et organisation des soins au Cameroun et à l'étranger", Services de santé, B.P. 2265, DOUALA, 233 43 30 30, contact1@cas-assistance.com, Bali 493 Rue Koumassi-Bali, Monsieur Néjib SOUSSIA(Directeur général)
CAMI TOYOTA," Distribution automobile, Pneus, Poids lourd, Equipements, Motos, matériel Nautiques, groupes électrogènes, pièces de rechange, lubrifiants et accessoires", Commerce et distribution, B.P. 1217 Douala-Cameroun, DOUALA, 233 39 66 56, cami@cfao.com," Bonabéri, zone industrielle", M. Denis ZAPPULLA (Directeur Général)
CAMEROUN AUDIT CONSEIL," Audit, Commissariat aux comptes, Conseil Juridique et fiscal, Assistance aux PME - Conseil en Organisation", Cabinet conseil, B.P. 443, DOUALA,None, cacinternational@cac-international.com," Bonanjo, 6ème étage Tour CNPS"," Monsieur Jérôme  MINLEND (Président directeur général), Coretta MINLEND(Secrétaire générale)"
CAMTRACK," Gestion de flotte (GPS), Systèmes d'alarmes, Contrôle d'accès et gestion de temps, vidéo surveillance, télécoms", Services aux entreprises,None, DOUALA, 233 43 84 32, sales@camtrack.net," Bonapriso, dépôt guiness", Monsieur Hilaire TINEN(Directeur général)
CAMWATER," Production, transport, distribution, et commercialisation d'eau potable",None, BP  524, DOUALA, (+237) 243 43 72 70, camwatersecretariatdg@yahoo.com, Koumassi, Monsieur Blaise MOUSSA (Directeur Général)
CAMTECH Sarl," Services Télécom, informatique, électricité",None,None, YAOUNDE,None, info@camtechgroup.net," Yaoundé, Pont Dragages Bastos ; Douala Akwa Face palais Dika Akwa", Monsieur François Xavier AMOUGOU (Directeur Général)
CAMTEL (Cameroon Télécommunications), Télécommunications,None, BP 1571, YAOUNDE,None, contact@camtel.cm," Yaoundé, Bld du 20 Mai"," Madame Judith YAH SUNDAY , Epse ACHIDI (Directeur Général)"
CANAL + ADVERTISING Cameroun SAS, Commercialisation des Espaces Publicitaires à l'intention des Annonceurs et Agences Médias,None, BP 13131, DOUALA,None," sales@camtrack.net, hilaire.tinen@camtrack.net, josianne.epee@camtrack.net"," Bonanjo, 8ème étage Résidence de la Vallée (immeuble NSIA, S/C CANAL+ Cameroun)", Monsieur Alain MORE EKOBE (Directeur Général)
CAPA (Cameroon Alcohol Producers Association), Association des opérateurs des boissons alcoolisés,None,None, DOUALA,None," sarah.bakanesimo@diageo.com, rmfondja@sabc-cm.com",None,  Monsieur ANDREW ROSS (Président)
CAPI CAMEROUN, Pesage industriel,None,None, Douala, 233 42 62 58, ag@capicameroun.com, Rue Vasnitex - Bonapriso, M. Ephreim Tchakounte (PDG)()
CEVA LOGISTICS CAMEROUN S.A., LOGISTICS,None, 3086 Douala, DOUALA,None, serge.modo@cevalogistics.com, Bonapriso - Immeuble, Monsieur Nicolas COUNILLON (DG)
CANAL + CAMEROUN, Télécommunications, Télécommunications, B.P. 72, DOUALA,None, canalplus.cameroun@canal-plus.com," Bonanjo, voirie municipale,immeuble Grassfields", Monsieur Paul TAMBA ZAPO  (Directeur Général)
CDC (Cameroon Development Corporation), Agro-Industrie, Agro-industrie, Bota-Limbe     South west province, DOUALA, 233 33 26 80, info@cdc-cameroon.com, Bota, Monsieur Francklin NJIE NGONI(Directeur général)
CBC (Commercial Bank of Cameroon), Services bancaires, Banque, B.P. 4004, DOUALA, 33 43 38 00 / 33 43 38 02, cb-cameroun@groupecommercialbank.com, Bonanjo, Monsieur Léandre DJUMMO(Directeur général)
CCA-Bank S.A (Crédit Communautaire d'Afrique - Bank S.A) , Banque,None, 1573, YAOUNDE,None, cca@afrigroupe.com /  cca@cca-bank.com," Boulevard Rudolph Manga Bell, Mokolo", Monsieur André Alexis MEGUDJOU (DG)
CECOTRAM Sarl, Commerce Général,None, B.P 564, DOUALA,None, cecotram2002@yahoo.fr," AKWA, Immeuble Decage", Monsieur Jean-Pierre ONDOBO (Directeur Général)
CENTRE SERVICES EXPRESS," Prestation de services, transit, logistique, négoce", Services aux entreprises,None, DOUALA, 233 42 20 68, cse_97@yahoo.fr, Rue NJO NJO Bonapriso, Monsieur Moselly NJEBAYI(Directeur général)
CFAO TECHNOLOGIES," Conception, réalisation et commercialisation des logiciels, ordinateurs, services et conseils", TIC, B.P. 12937, DOUALA, 233 43 43 87/ 233 42 46 36, technologies@cfao.com, Akwa, Monsieur  Stephane BORDURE-LINDER(Directeur général)
CHANAS ASSURANCES S.A., Compagnie d'Assurances, Assurances, B.P. 109, DOUALA, 233 42 99 60, chanas@chanasassurances.com; mouloki@chanasassurances.com," Bonanjo,", Monsieur Aloys Abanda Abanda(Directeur général)
CGA CoPME (Centre de Gestion Agrée - Confédération des Petites et Moyennes Entreprises)," Accompagnement des PME, Aide au développement dans le domaine de la gestion",None,None,None,None, centredegestionagreecopme@gmail.com, Yaoundé, Monsieur Alain BOUTCHANG (Président exécutif )
"CHOCOCAM (Chocolaterie, Confiserie du Cameroun)", Production de chocolat et Confiserie, Industrie agroalimentaire, B.P. 275, DOUALA, 233 37 94 43," chococam@chococam.net; calixte.mbella@chococam.net, contact.chococam@tigerbrands.com"," Bassa, à coté UCB", Monsieur NDIAYE MOUHAMADOU(Directeur général)
CIMAF (Ciments de l'Afrique Cameroun), FABRICATION ET COMMERCIALISATION DU CIMENT,None, B.P. 9457, DOUALA,None, youssef.maddoun@cimentsafrique.com," Bonabéri, Zone industrielle", Monsieur HAMMI ISMAAYL (Directeur Général)
CIFM- PALLISCO, Exploitation forestiere; scierie; raboterie, Agro-industrie, B.P. 394, DOUALA, 233433153, info@pallisco-cifm.com," Bonanjo, 478, avenue des cocotiers, après consulat France", Monsieur Paul LAGOUTE (Directeur Général)
CGM/ G.K.M AUDIT et CONSEIL," Expertise comptable; commissariat aux comptes; audit financier  et operationnel; système d'information et organisation informatique, Conseil et Gestion", Cabinet conseil, B.P. 4096, DOUALA, 233 43 11 12, cgmaudit@yahoo.fr," Akwa, immeuble socar", Monsieur Joseph TCHOUBET(Directeur général)
CHAZAI WAMBA, Activités Juridiques,None, 4937, Douala,None,  contact@chazai-wamba.com," 1149, Boulevard de la République, Bali", Aurélie Solange CHAZAI
CHASLES CORPORATION, Informatique et Télécoms," Prestations de services informatiques (IT, Telecoms, Cyber défense)", BP  2867 Douala-Cameroun, Douala,None," cnjea@chaslescorp.com, info@chaslescorp.com, sales@chaslescorp.com"," Akwa rue Joffre, 3è Etage immeuble BYBLOS", NGOUA NJEA CHARLES GUNTHER
CIMENCAM (Cimenteries du Cameroun), FABRICATION ET COMMERCIALISATION DU CIMENT, Industrie transformation, B.P. 1323, DOUALA, 233 39 13 77, contact@cimencam.lafarge.com; nathalie.bayo@lafarge.com;, Bonabéri, Monsieur Benoît GALICHET (Directeur général)
CITIBANK OF CAMEROON, Services bancaires, Banque, B.P. 4571, DOUALA, 233 42 40 74, yinilah.ndahne@citigroup.com, Bonanjo, Monsieur Gordon ACHA (Directeur général)
CNPS, Prévoyance et sécurité sociale,None,None, YAOUNDE,None, cnps.cameroun@cnps.cm,None, Monsieur Noël Alain MEKOULOU MVONDO  AKAME (Directeur Général)
CLGG (Consignation et Logistique du Golfe de Guinée)," Transport maritime, affrêtement, consignation, transit, manutention, remorquage portuaire, dragage, agence de voyage", Transport/Transit/consignation/logistique, B.P. 4054, DOUALA, 233 42 21 81  / 233 42 76 76, commercial@clgg-cm.com; agencies@clgg-cm.com," Bonanjo, Centre des affaires maritimes", Monsieur Bernard André NDENGUE(Directeur général)
COFACE WEST AFRICA (Compagnie Française d'Assurance pour le Commerce Extérieur), Assurance et commerce extériueure, Assurances, B.P. 18342, DOUALA,None, coface_westafrica@coface.com," Bonanjo, à côté ONCPB, immeuble IBAN, 4e étage", Monsieur Carmine MANDOLA (Directeur des Opérations Afrique et Moyen Orient)
CNIC (Chantier Naval et Industriel du Cameroun S.A.)," Réparation navale, agence en consignation, travaux pétroliers Onshore/Offshore, réhabilitation des plateformes pétrolières", Industrie métallique, B.P. 2389, DOUALA, 233 40 61 99, CNIC@cnicyard.com ;  enquiries@CNICyard.com," Bonanjo, Base Elf", Monsieur Roland Maxime AKA'A NDI'I(Directeur général)
COGENI CAMEROUN S.A., Commerce général -Import - Export, Commerce et distribution, B.P. 5751, DOUALA, 233 43 14 68, scecommercialcogeni@cogenicam.com, Akwa-Camp Yabassi-Face Station MRS, Monsieur André OUAMBO(Président)
